dataset,forecast_algo,n_duplicates,n_unique_signatures,is_consistent,chosen_source_dir
ASHRAE901_ApartmentMidRise_STD2019,ARIMA,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
ASHRAE901_ApartmentMidRise_STD2019,HybridKNNMLP,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
ASHRAE901_ApartmentMidRise_STD2019,HybridLRXGB,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
ASHRAE901_ApartmentMidRise_STD2019,HybridLassoMLP,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
ASHRAE901_ApartmentMidRise_STD2019,HybridLassoXGB,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
ASHRAE901_ApartmentMidRise_STD2019,KNN,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN
ASHRAE901_ApartmentMidRise_STD2019,LR,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR
ASHRAE901_ApartmentMidRise_STD2019,LSVR,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR
ASHRAE901_ApartmentMidRise_STD2019,Lasso,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso
ASHRAE901_ApartmentMidRise_STD2019,MLP,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_MLP
ASHRAE901_ApartmentMidRise_STD2019,SARIMAX,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
ASHRAE901_ApartmentMidRise_STD2019,SGD,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SGD
ASHRAE901_ApartmentMidRise_STD2019,SVR,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SVR
ASHRAE901_ApartmentMidRise_STD2019,XGB,39,1,True,ECOS2026/results/ASHRAE901_ApartmentMidRise_STD2019/cpd_Binseg_ms28_d1_w28/forecast_XGB
ASHRAE901_OfficeSmall_STD2019,ARIMA,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
ASHRAE901_OfficeSmall_STD2019,HybridKNNMLP,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
ASHRAE901_OfficeSmall_STD2019,HybridLRXGB,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
ASHRAE901_OfficeSmall_STD2019,HybridLassoMLP,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
ASHRAE901_OfficeSmall_STD2019,HybridLassoXGB,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
ASHRAE901_OfficeSmall_STD2019,KNN,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN
ASHRAE901_OfficeSmall_STD2019,LR,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR
ASHRAE901_OfficeSmall_STD2019,LSVR,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR
ASHRAE901_OfficeSmall_STD2019,Lasso,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso
ASHRAE901_OfficeSmall_STD2019,MLP,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_MLP
ASHRAE901_OfficeSmall_STD2019,SARIMAX,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
ASHRAE901_OfficeSmall_STD2019,SGD,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SGD
ASHRAE901_OfficeSmall_STD2019,SVR,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SVR
ASHRAE901_OfficeSmall_STD2019,XGB,39,1,True,ECOS2026/results/ASHRAE901_OfficeSmall_STD2019/cpd_Binseg_ms28_d1_w28/forecast_XGB
ASHRAE901_RestaurantSitDown_STD2019,ARIMA,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
ASHRAE901_RestaurantSitDown_STD2019,HybridKNNMLP,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
ASHRAE901_RestaurantSitDown_STD2019,HybridLRXGB,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
ASHRAE901_RestaurantSitDown_STD2019,HybridLassoMLP,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
ASHRAE901_RestaurantSitDown_STD2019,HybridLassoXGB,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
ASHRAE901_RestaurantSitDown_STD2019,KNN,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_KNN
ASHRAE901_RestaurantSitDown_STD2019,LR,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LR
ASHRAE901_RestaurantSitDown_STD2019,LSVR,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_LSVR
ASHRAE901_RestaurantSitDown_STD2019,Lasso,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_Lasso
ASHRAE901_RestaurantSitDown_STD2019,MLP,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_MLP
ASHRAE901_RestaurantSitDown_STD2019,SARIMAX,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
ASHRAE901_RestaurantSitDown_STD2019,SGD,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SGD
ASHRAE901_RestaurantSitDown_STD2019,SVR,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_SVR
ASHRAE901_RestaurantSitDown_STD2019,XGB,39,1,True,ECOS2026/results/ASHRAE901_RestaurantSitDown_STD2019/cpd_Binseg_ms28_d1_w28/forecast_XGB
LUCID_1,ARIMA,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
LUCID_1,HybridKNNMLP,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
LUCID_1,HybridLRXGB,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
LUCID_1,HybridLassoMLP,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
LUCID_1,HybridLassoXGB,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
LUCID_1,KNN,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_KNN
LUCID_1,LR,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_LR
LUCID_1,LSVR,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_LSVR
LUCID_1,Lasso,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_Lasso
LUCID_1,MLP,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_MLP
LUCID_1,SARIMAX,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
LUCID_1,SGD,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_SGD
LUCID_1,SVR,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_SVR
LUCID_1,XGB,39,1,True,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_XGB
LUCID_2,ARIMA,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
LUCID_2,HybridKNNMLP,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
LUCID_2,HybridLRXGB,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
LUCID_2,HybridLassoMLP,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
LUCID_2,HybridLassoXGB,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
LUCID_2,KNN,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_KNN
LUCID_2,LR,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_LR
LUCID_2,LSVR,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_LSVR
LUCID_2,Lasso,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_Lasso
LUCID_2,MLP,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_MLP
LUCID_2,SARIMAX,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
LUCID_2,SGD,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_SGD
LUCID_2,SVR,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_SVR
LUCID_2,XGB,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_XGB
LUCID_3,ARIMA,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
LUCID_3,HybridKNNMLP,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
LUCID_3,HybridLRXGB,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
LUCID_3,HybridLassoMLP,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
LUCID_3,HybridLassoXGB,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
LUCID_3,KNN,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_KNN
LUCID_3,LR,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_LR
LUCID_3,LSVR,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_LSVR
LUCID_3,Lasso,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_Lasso
LUCID_3,MLP,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_MLP
LUCID_3,SARIMAX,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
LUCID_3,SGD,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SGD
LUCID_3,SVR,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SVR
LUCID_3,XGB,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_XGB
